Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Confidence,Lat,Lon,YEAR,DOY,T2M_MIN,T2M_MAX,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WD2M,GWETTOP,GWETROOT
3/25/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,85,27.25736,84.88618,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
3/25/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,73,27.27119,84.89964,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
3/25/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,72,27.26835,84.8838,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
3/25/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,74,27.27118,84.89435,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
3/25/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,42,27.32255,84.80022,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
3/25/2022,Madhes,bara,Nijgadh,4,Parsa National Park,32,27.22125,85.07849,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
3/25/2022,Madhes,bara,Nijgadh,11,Parsa National Park,66,27.23931,85.05341,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
3/26/2022,Madhes,bara,Nijgadh,11,Parsa National Park,47,27.24104,85.05784,2022,85,19.63,36.76,27.21,6.35,31.25,0.0,4.39,285.62,0.35,0.41
3/26/2022,Madhes,bara,Jitpur Simara,21,Parsa National Park,25,27.23726,85.02189,2022,85,19.63,36.76,27.21,6.35,31.25,0.0,4.39,285.62,0.35,0.41
3/26/2022,Madhes,bara,Nijgadh,4,Parsa National Park,70,27.2241,85.08991,2022,85,19.63,36.76,27.21,6.35,31.25,0.0,4.39,285.62,0.35,0.41
3/26/2022,Madhes,bara,Nijgadh,11,Parsa National Park,23,27.23706,85.06653,2022,85,19.63,36.76,27.21,6.35,31.25,0.0,4.39,285.62,0.35,0.41
3/26/2022,Madhes,bara,Nijgadh,11,Parsa National Park,47,27.2386,85.05401,2022,85,19.63,36.76,27.21,6.35,31.25,0.0,4.39,285.62,0.35,0.41
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,90,27.26307,84.86898,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,92,27.27588,84.8718,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,92,27.2887,84.87457,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,27,27.29717,84.89918,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,67,27.25229,84.86,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,71,27.24802,84.88183,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,60,27.26083,84.8847,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,68,27.26508,84.86288,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
